id,label,freq,threshold,tp,fn,fp,precision,recall,f1
19,tap,0.12,0.0005,197,16,1396,0.12366603892027621,0.9248826291079812,0.21816168327796234
0,bowl,0.12,0.0,219,0,1602,0.12026359143327842,1.0,0.21470588235294116
14,pan,0.09,0.0207,51,116,366,0.1223021582733813,0.30538922155688625,0.17465753424657535
16,spatula,0.08,0.0136,75,71,765,0.08928571428571429,0.5136986301369864,0.15212981744421908
3,cupboard,0.08,0.0007,112,27,1276,0.08069164265129683,0.8057553956834532,0.1466928618205632
12,meat,0.06,0.0033,58,56,626,0.0847953216374269,0.5087719298245614,0.14536340852130325
18,spoon,0.08,0.002,136,5,1595,0.07856730213749277,0.9645390070921985,0.1452991452991453
5,drawer,0.07,0.0023,85,45,1002,0.078196872125115,0.6538461538461539,0.13968775677896467
17,sponge,0.07,0.0037,95,31,1234,0.07148231753197894,0.753968253968254,0.13058419243986255
10,knife,0.06,0.0026,60,58,742,0.07481296758104738,0.5084745762711864,0.13043478260869565
4,dough,0.06,0.0096,62,42,863,0.06702702702702702,0.5961538461538461,0.12050534499514091
9,hand,0.05,0.015,70,20,1216,0.05443234836702955,0.7777777777777778,0.10174418604651163
15,plate,0.04,0.0109,23,47,375,0.05778894472361809,0.32857142857142857,0.09829059829059829
11,lid,0.04,0.0636,19,49,315,0.05688622754491018,0.27941176470588236,0.0945273631840796
7,fridge,0.02,0.045,5,32,69,0.06756756756756757,0.13513513513513514,0.09009009009009009
8,glass,0.03,0.0037,42,15,1054,0.03832116788321168,0.7368421052631579,0.07285342584562012
13,onion,0.02,0.0072,14,22,407,0.0332541567695962,0.3888888888888889,0.061269146608315096
1,cloth,0.02,0.0075,7,24,255,0.026717557251908396,0.22580645161290322,0.04778156996587031
6,fork,0.02,0.0016,39,3,1570,0.024238657551274082,0.9285714285714286,0.047244094488188976
2,container,0.01,0.0227,2,23,74,0.02631578947368421,0.08,0.039603960396039604
